"region","2016, I квартал","2016, II квартал","2016, III квартал","2016, IV квартал","2017, I квартал","2017, II квартал","2017, III квартал","2017, IV квартал","2018, I квартал","2018, II квартал","2018, III квартал","2018, IV квартал","2019, I квартал","2019, II квартал","2019, III квартал","2019, IV квартал","2020, I квартал","2020, II квартал","2020, III квартал","2020, IV квартал","2021, I квартал","2021, II квартал","2021, III квартал","2021, IV квартал","2022, I квартал","2022, II квартал","2022, III квартал","2022, IV квартал","2023, I квартал","2023, II квартал","2023, III квартал","2023, IV квартал","2024, I квартал"
"Липецкая область","20000.4","47719","78661.8","127890.9","14810.3","42294.9","82738.5","142407.1","22236.2","51027.5","81361.2","128532.7","17816.2","47096.7","83193.9","155038.2","24277.3","62156.8","103996.3","171804.2","29086.7","67868.9","112217.1","179400","25579","67103.3","107132.7","166200","32624.5","71730","117331.8","187205.1","41620"
"Московская область","69922.6","191212","355350.7","621176.1","69992.5","218375.3","373354.9","699918.5","129187.5","302278.4","573062.2","945424.1","135250.7","378483.9","674703","1090731.6","154107.1","334078.3","572243.9","1077672.1","147790.4","389458.3","696656.5","1182601.5","232073.5","505254.8","834119","1376014.7","235073.5","575686.7","963081.9","1593544.8","260976.7"
"Орловская область","7397.8","18243.1","32927.2","43595.6","5761.7","14768.6","27759.2","43669.6","6883.2","19246.2","32493.8","48058.4","8405.7","19600","33542.8","55901.9","11505.2","25377.6","38314.1","55049","8918.4","21409.9","36662.7","58815","10885.5","25399.6","42514.1","60475.2","8418.2","18643.4","34507.3","58361.9","10112.2"
"Рязанская область","6418.3","17103.8","29839.8","50892.7","10401.8","22859.1","39178","62286.2","7731.6","19648.2","36830.3","62741.4","9735.2","24579.7","43221.6","69044.2","8275.7","19476.7","36565.6","62505.3","12025.4","27823.5","46753.9","75730.4","13125.2","30317.3","51946","92430.7","12001.3","35317.4","59016.7","101302.4","17551"
"Смоленская область","8371.9","20164.5","38314","58728.2","7309.2","18704.8","32977.9","57495.6","8011.8","20632","37719.1","70900.5","8885.1","23842.1","42679.4","70524.7","9161.6","25037.9","38411.8","64975.7","9760.6","26127","44543.8","71255.8","10050.5","22872.9","36270.1","66401.3","10200","27429.9","48683.2","94644.2","14504.2"
"Тамбовская область","9774.1","35405.5","58106.5","105033.4","9552.3","39875.3","60979.1","111073.1","9029.6","40367.5","63738.2","106230.3","6308.6","15986.4","37971","90718.9","5906.8","16823.3","29010.8","74770.1","11750.7","30012","48193.8","79396.7","11711.3","26675.9","42697.6","81328.8","14679.8","32838.3","56470","92397.8","18564.3"
"Тверская область","10473.9","30062","58944.6","93427.3","19972","44408.3","67333.7","100743.9","10136.6","38456.4","60819.7","104501.1","11131.9","28889.8","55482.6","88348.2","12814.3","29617.3","51002.8","84863.2","12711.4","28905.3","47537","87064.1","14067.6","30628.3","51907.8","89035.7","18232.5","44078.9","79908.4","141167.3","21170.9"
"Тульская область","14950.1","37149.1","60703","112560.6","15941.4","43838.8","76364.3","128563.6","21722.8","64556.9","103146.5","154752.3","34756.6","69466.9","106316.2","177724.4","23043.4","48708.4","84722.2","137984","20064.6","57275.3","97951.7","182405.5","25822.9","67199","110500.4","212314.9","29994.2","75432.3","140672","235052.1","38314.7"
"Ярославская область","11601.3","27142.9","45252.8","88363.2","12266.8","31567.6","49667.5","85781.6","16373.1","32577.4","52748.3","84397.3","13191.7","39211.3","57315.8","90977.5","14089","31793","56078.1","92691","18844.3","46278.1","68688.1","111392.7","18538.5","44539","70422.9","116594.2","20882.7","50592","83103","135818.6","31605.4"
"г. Москва","193515.6","548623.8","913612.8","1712239.4","279260.3","654955.8","1104986.8","2007707.7","327194.8","818684.5","1456222.2","2485175.7","393569.5","1025976.2","1895115.2","3268623.2","460727.3","1190212.3","2111666.9","3839394.4","581335.3","1542113.5","2740239.8","4868342.1","780196.8","2024634","3471539.4","6047454.9","827134.2","2258894.5","3891931.8","6757235.8","1058189.4"
