"region","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Алтайский край","138","170","237","283","272","347","436","474","464","513","546","563","625.4","681","754.7","734.8","920.6","1022.4"
"Красноярский край","537","724","915","955","940","1281","1500","1603","1689","1848","2010","2178","2473.3","3008.1","3408.2","3408.5","4007.4","4303.6"
"Иркутская область","300","371","475","538","608","714","789","962","1036","1135","1231","1272","1442.1","1627.2","1674","1646.7","2185.8","2507.9"
"Кемеровская область","533","564","681","918","810","1107","1480","1464","1419","1507","1604","1765","2291.9","2734.6","2528.7","2290.9","3764.1","4199.9"
"Новосибирская область","454","555","694","836","729","895","1009","1115","1222","1276","1319","1437","1624.3","1724","1792.4","1781","2219.3","2562.1"
"Омская область","468","244","287","282","288","329","406","436","497","526","514","534","559.1","578.9","662.7","701.2","829.7","908.1"
"Томская область","190.9","215.8","258.7","292.7","303.2","361.1","466.7","545.8","590.1","627.5","728","766","854.9","965.1","978.8","943.5","1189.3","1325"
"Дальневосточный федеральный округ","953.4","1197","1548.6","1758.7","1791.9","2247.7","2799.9","2986.7","3161","3744.5","3889","3985","4198.8","5260.1","5793.5","5863.1","7340.4","8076.7"
"Республика Бурятия","43","64","90","105","108","131","156","121","130","144","173","158","159","197.4","208.4","223","263.2","362.1"
"Республика Саха (Якутия)","204.4","224.7","260","290.4","272.9","344.5","431.2","414.3","426.9","498","548","668","630.2","778.7","816.3","788","1117.6","1306.6"
"Забайкальский край","52","64","77","83","88","88","109","118","118","124","132","144","164","169.4","215.1","255.2","309.2","360.4"
"Камчатский край","42","48.7","58.2","65.6","70","78.2","84.9","103.3","103.9","109.8","141","169","199.2","234","258.6","266.6","327.4","337.8"
"Приморский край","182","210.3","218.9","249.8","324.9","469.8","566.5","630.1","720.4","856","818","783","851.7","1175.9","1376.1","1465.3","1979.2","2236.2"
"Хабаровский край","258","314.4","408.9","465","338.9","410.1","497.5","548.6","586.9","672.6","668","680","740.1","853.4","966.8","970","1134.8","1264.6"
"Амурская область","55","64.9","75.6","92","107.2","129.1","176.8","194.3","190.9","210.2","221","214","220.4","254","331.7","360.6","389.5","380.7"
"Магаданская область","29","31","31","37","48","59","82","107","109","113","135","173","178.5","212","269.6","343.6","401.1","374.8"
"Сахалинская область","69","157","307","346","379","483","634","682","706","919","941","874","947.6","1269.6","1217.8","1018.2","1226.1","1297.5"
"Еврейская авт. область","4","4","6","8","5","5","7","8","10","10","9","12","18.1","20.2","25.2","28.1","42.3","33.7"
"Чукотский авт. округ","15","14","16","17","50","50","55","60","59","88","103","110","90","95.5","107.9","144.5","150.1","122.4"
