"region","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Республика Мордовия","908.2","897.1","886.1","878.3","871.8","864.7","857.9","851.7","845","839.2","833.3","826.3","820.4","815","812.7","812.4","814.4","811.8","803.3","799","788.7","781.4","771.4","765.9"
"Республика Татарстан","3786.8","3781.9","3777.7","3773.1","3768.2","3761.6","3763.1","3766.8","3773.5","3784.5","3787.5","3812.4","3841.4","3867.6","3894.5","3919.1","3946.7","3966.8","3981.9","3996.4","3997.7","4000.1","4001.6","4003"
"Удмуртская Республика","1588","1578.2","1568.2","1561.1","1554.3","1545.8","1538.6","1533","1528.2","1525.1","1520.4","1514.8","1511","1507.3","1504.4","1500.8","1497.2","1490.1","1481.3","1471.6","1460.9","1448.9","1442.3","1434.6"
"Чувашская Республика","1327.7","1319.5","1311.7","1301.6","1291","1278.9","1268.6","1263","1258.2","1255.9","1250.5","1245.5","1240.5","1235.2","1231.8","1229","1226.8","1221.6","1212.5","1206","1194.8","1183.9","1173.2","1167.1"
"Пермский край","2858.6","2837.1","2813.8","2783","2751.6","2718.8","2691.6","2674","2660.4","2648.7","2633.5","2628.6","2629.5","2628.3","2626","2620.8","2615.9","2604.4","2589.2","2574.7","2550.7","2525.1","2508.4","2495.3"
"Кировская область","1536.8","1518.4","1499","1472.5","1445.3","1418.7","1396","1379.4","1365","1352.7","1338.8","1319.7","1302.5","1286","1271","1257","1243.5","1227.9","1209.6","1192.5","1172.8","1149.2","1138.1","1129.9"
"Нижегородская область","3594.5","3554.7","3515.7","3481.1","3447.9","3414.3","3384.3","3362.8","3343.7","3326.8","3307.6","3293.6","3283.2","3271.6","3257","3244.1","3228.5","3212.5","3189.1","3174.2","3144.5","3108.9","3081.8","3060.3"
"Оренбургская область","2203.6","2189.9","2176","2149.9","2122.5","2093.5","2067.9","2055.7","2044.3","2042","2031.5","2017","2002.7","1988.2","1973.9","1960.6","1948.8","1930.5","1909.9","1898.4","1879.3","1855.8","1841.4","1828.7"
"Пензенская область","1484.1","1466.2","1449.2","1440","1431","1420.1","1411.7","1405.4","1398.1","1392.4","1384","1375.2","1365.8","1356.6","1350.8","1342.6","1334.3","1323.2","1308.1","1294.5","1278.8","1261.1","1246.6","1236.1"
"Самарская область","3275.8","3254","3235.7","3229.2","3225.3","3225.6","3224","3220.9","3221.5","3220.9","3215.3","3217","3219.2","3220.1","3224.5","3220.8","3221.5","3214.3","3206.8","3206.2","3183.9","3164.4","3142.7","3127.8"
"Саратовская область","2699.4","2682","2663.5","2639.5","2615.6","2591.2","2572.4","2558.3","2545.3","2535.4","2519.3","2514.9","2515.7","2515.2","2517.9","2518.6","2516.6","2506.6","2490.8","2478.1","2457.6","2431","2404.9","2385.2"
"Ульяновская область","1413.6","1395.9","1378.9","1366.9","1354.6","1340.3","1325.9","1316.2","1308.7","1301.7","1290.5","1280.8","1272.1","1264.1","1257.9","1251.9","1246","1238.7","1229.4","1219.7","1207.1","1191.7","1181","1172.8"
"Уральский федеральный округ","12471.3","12417.7","12361.3","12284.6","12205.2","12128.7","12080.4","12074.3","12076","12087.7","12087","12142.1","12195.1","12230.5","12270.7","12302","12338.7","12348.6","12342.1","12352.1","12319.7","12285.3","12259.1","12262.3"
"Курганская область","1047.1","1030.7","1016.2","999.4","981","961.8","946.1","934.5","925.2","918.6","908.8","893.2","879.7","868","857.7","846.8","836","824.4","810.5","800","788.4","772.3","761.6","753"
