"region","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Оренбургская область","19368.5","22414.1","20949.5","24227.8","28228.5","29418.9","34053.8","44921.2","62919.8","55288.3","47707.8","69144.2","68019","77641.4","83840.4","99108.4","110727","113038.2","107971","113016","141647","144334","191734"
"Пензенская область","7642.3","10032.3","11546.1","11493.7","14331.4","15715.7","17876.6","21300.7","28310.4","30178.1","27017.8","37867.1","42703.6","46384.9","56754","74486.4","83618.9","73919.4","82455","100123","129080","151136","166060"
"Самарская область","15744.8","19401.2","19752.9","19818.4","22708.7","23092.6","28112.6","33275.9","42046.6","41709.7","38105.1","48616","55611","64166.9","71143.6","82193.1","93052.6","89051.7","88976","100442","124380","149349","183041"
"Саратовская область","18545.8","24148.8","23603.1","28749.1","34012.7","34920.7","38650.1","51951","64031.4","59053","67085.1","84395.4","83337.1","92417.7","100620.7","119768.3","142009.9","134973.4","129175","145143","189775","231259","261657"
"Ульяновская область","7145.7","9503","8518","9225.5","10226.5","11218.5","13086.8","14517.1","19122.8","18241.1","16563.1","28571.3","26725.1","27625.3","28198.2","33706.8","38762.2","38461.6","37868","43433","56871","59039","79480"
"Уральский федеральный округ","47312.7","60423.6","63052.9","71765.8","82158.9","97486.6","120196.1","129904","166284.2","172107.1","169203.5","224728.2","199398.6","226003.3","253024.5","292395.7","304672.2","320285.3","321680","343824","339748","375627","457291"
"Курганская область","7602.9","9640.7","9235.8","9583.8","10679.2","10982.4","13754.8","16873.2","21802.3","24114.9","19650.8","29477.3","25553.9","33084.4","28471.6","34780.5","38094","38576.7","39511","46269","45092","50923","71618"
"Свердловская область","15492.7","19636.7","20463.4","21870.4","24303","27395.5","30393.2","30851.6","40261.5","43314.6","44463.6","56586.6","51373.7","58576.2","65685.9","75604.8","74606.5","79133.6","84960","92018","93616","101837","115305"
"Тюменская область","11915.5","15272.9","15535.8","17913.4","21991.1","24213.6","30660","33509.1","43218.8","45330.7","46654","58660.2","56125.2","58853.2","67110.7","70657","74486.2","76715.6","77793","83037","87514","98696","123349"
"Ханты-Мансийский авт. округ - Югра","1657.9","1963.3","1603.6","2404.8","2482.1","2550.6","3095.6","3233.3","4360","5418.2","5749.1","8021.4","8374.2","8244","7800.2","7651","8748.2","9451.2","10027","9417","10308","8603","8999"
"Ямало-Ненецкий авт. округ","239.4","302.9","402.1","532.4","573.1","497.3","705","887.8","1273.7","1344.5","1474.9","1854.7","1914.6","1962.9","2047","2083.7","2274.3","2687","2761","2927","3083","3777","3650"
"Тюменская область без авт. округов","","","","","","","","29388","37585.1","38568","39430","48784.1","45836.4","48645.8","57264","60921.7","63463.7","64578","65005","70693","74124","86316","110700"
