"region","2016, I квартал","2016, II квартал","2016, III квартал","2016, IV квартал","2017, I квартал","2017, II квартал","2017, III квартал","2017, IV квартал","2018, I квартал","2018, II квартал","2018, III квартал","2018, IV квартал","2019, I квартал","2019, II квартал","2019, III квартал","2019, IV квартал","2020, I квартал","2020, II квартал","2020, III квартал","2020, IV квартал","2021, I квартал","2021, II квартал","2021, III квартал","2021, IV квартал","2022, I квартал","2022, II квартал","2022, III квартал","2022, IV квартал","2023, I квартал","2023, II квартал","2023, III квартал","2023, IV квартал","2024, I квартал"
"Уральский федеральный округ","30111.9","33754.4","32550.1","35477.6","31447.1","33938","32589.6","36730.7","32115.8","35220.2","34273.2","38824","33264.5","37581","36705.9","40762.3","35120.3","37001.4","36112.3","41085.4","34892.5","40129.1","40578.3","45178.2","41232","47094","50159","51178","47826","52170","52331","60637","52513"
"Курганская область","17966.4","20761.9","20024.8","23017.8","19983.4","21475.4","20219.1","22332.1","19197.5","20410.6","20260.7","23024.1","19035.8","22036.8","21359.3","24928.7","20946.4","21415.9","22768.2","24829.7","21885.9","22761.3","24821.6","28362.4","25509","28138","30006","34867","28768","31179","33316","40362","32645"
"Свердловская область","30913.8","35416.8","34828.3","37712.8","32231.4","34337","34297.5","39922.1","32656.7","35311.2","36493","42339.6","33777.5","38312.4","39682.9","44536.4","35560.2","35814.3","35792.4","42280.5","33103.4","38964.9","41576.4","46995.7","39120","46521","51038","51216","45010","49993","53655","64298","53149"
"Тюменская область","40633.4","44077.3","41936.2","44651.2","42171.5","45932.3","42418.7","46744","43422.6","48886.5","45049","49159.3","45383.8","51161.9","47489.7","51785.3","47739.5","51974","48835","52892.8","48708","55905.2","52014.1","56668.5","57218","64236","63172","64781","66155","70434","64966","75278","68556"
"Ханты-Мансийский авт. округ - Югра","44087.1","48937.6","45412.7","49807","46425.2","50932.4","45949","51808.3","47530.2","53148","48916.4","53361.8","48682.8","55507.6","52104.4","57289.9","50953.8","55756.1","53312","57932.6","50501","59568","55901.4","61642.2","61094","68483","68235","69545","69702","72510","68044","81286","71774"
"Ямало-Ненецкий авт. округ","72779.4","78016","74560.5","75764.8","76797.2","82720.7","77678.9","81638.2","78899.8","92276.1","78955.4","85947","86204.7","98847","83638.4","89719.4","92549.7","104937","91177.6","97060.4","99711.5","113361.4","99172.2","106057.8","117587","131152","119345","112492","137209","146351","127033","149908","138978"
"Тюменская область без авт. округов","25625.7","26891.5","26736.9","28122.6","25710.2","27915","26535.7","29301.4","27114.8","29769.2","29526.5","32310.6","28437.1","30836.4","30662.4","33415.3","29835.1","30830.1","30380.6","33248.8","30465.9","33599.8","32765.3","35544.7","33817","38348","39840","44468","39704","44019","41884","45040","42558"
"Челябинская область","21170.4","24159.4","23050.1","26235","21980.7","23855.9","23136.2","25735.3","22508.4","24114.4","23409","27244.9","22916.4","25697.3","24996.6","27920.5","24115.8","25784.2","25747.9","30505.5","24873.6","28169.7","30340.6","34102.9","29529","32912","39055","39594","34873","38927","40650","44064","37746"
"Сибирский федеральный округ","21134","23566","23431","27538","22474","24340","23574","28140","23212.8","25675.7","24536.7","29568","24044.2","27164.6","26709.6","31385","25162.7","27555.2","27286.4","32324.9","25562.9","30360.4","30908.2","36734.8","31920","36939","36928","45228","36457","40624","42085","51548","38695"
"Республика Алтай","16257.5","17823.9","16853.1","22826.1","16804.7","18083.3","19284.1","22464.7","16761.8","19460.6","18708","25803","17391.4","20616.5","19717.9","26595.9","18929.6","20925.6","22668.4","28006.6","22624.3","25209.4","24186.4","27730.6","23552","28161","33296","33236","28294","32223","35306","41150","28693"
"Республика Бурятия","19834.2","21798.7","23991.7","29561.5","19976.2","22639.5","24478.7","28615.1","22665.7","22999.7","24281","26727.7","22540.6","24593.5","26102.7","28495.9","24599.2","26026.1","25565.4","29078.2","24851.2","27051","29140","32569","28613","34976","36253","40571","33102","38047","38827","42862","35519"
"Республика Тыва","11976.2","15163.1","14424.8","18260.7","12298.4","14515.2","13487.4","19686.9","12327.7","15261.6","13766.7","20925.2","13082.6","16005.3","15569.6","21611.3","14310.1","18254.8","17989.7","25075.1","14621.9","19543","20187.8","27698.1","18418","21433","23175","34964","22110","26710","27884","39024","23553"
"Республика Хакасия","18373.1","20102","18864.5","20923.2","19021.5","20081.7","19622.5","21895","19959.5","21566.3","21406","22763.8","20980.6","22622.4","22491.1","23914.5","21864.8","23799","23618.7","25186.2","22977.9","24983.7","26575.6","28536.9","27922","29909","30731","35338","31139","34125","35077","39303","32300"
"Алтайский край","17534.3","20238.4","21498.5","27442.2","18444.6","21399.5","22441","28355.7","20149.4","22077.4","22132.6","29730.9","20502.2","23415.5","24405","30842.4","21587.5","23880.5","23454.6","30300.8","21935.8","26004.3","26161.2","34171.5","25727","31180","28973","44993","29899","34187","33798","46844","32866"
"Забайкальский край","19697.3","22471","21550.2","26020","21250.7","22852.4","21938","26524.5","21692.3","24276.3","23435","28702.8","24002.1","25944","25772.6","30032.1","25351.2","27519.3","27433.3","31214.4","28948.9","30289.2","30738","33326","33917","36964","37954","44945","35589","42042","40912","50371","40113"
"Красноярский край","25246.7","27525","26505.7","32308.2","26657","28939","26720","32829","26278.8","30675.2","27786","35110.8","27231.8","31827.1","30085.2","37476.1","28095.3","32916","31828.7","38143.4","29212.6","35715.4","35604.1","43332.3","38035","41267","44070","49036","43799","47969","48782","60943","44866"
"Иркутская область","20861.9","22551.9","21712.3","24733.4","22309.5","23229.2","22363.1","25898.3","22580.9","24434.7","23307.8","27382.4","23738.8","26392.7","25100.8","29840.5","25050.4","26878.1","26492.7","31278","25725","29601.4","30178.8","35134.1","33124","37942","37053","41211","37682","41401","42736","46752","40039"
"Кемеровская область","19181.4","21367.5","20938.7","23933.8","20756.5","22201.6","21251.5","24348.9","20729.9","22826.2","22746.9","26313.9","22084.7","24651","24253","28598.3","22698.9","25174.8","24357.8","29454.3","23374.2","27480.2","27803.7","33388.7","29681","32216","33594","39869","32081","37031","39049","48809","35431"
"Новосибирская область","23051.9","25591.8","27022.2","31500.1","25577.4","27162.8","26050.3","31818.3","26521.3","28311.2","27875.9","32420.7","27225.6","29830.2","30708","34062.7","29120","30205.1","31337.5","34856.7","28626.8","34751.9","36324.1","40479.9","34710","45375","42013","55234","41989","45877","49138","60220","44023"
"Омская область","22856.6","24967.2","24981.3","26555","23324.1","24589.8","23896.1","27485.4","23707.5","25612.7","24341.5","28604.3","23906.1","27300.4","27495.4","29841.4","24886.1","25860.2","26966.9","32459.6","24625.2","29192.6","30259.5","36689","30742","35008","36450","44700","33668","38707","39347","49743","37125"
"Томская область","23040.9","28281","25051.1","28633.8","24355.3","27723.1","25732","29245.5","25779.8","29478.1","25769.8","28473.1","26585.9","30244.5","27215.5","30001.4","27390.5","30316.4","27628.1","30157.4","27155.3","31352.6","31108","35073.3","33466","37601","37339","42650","36916","39640","42186","45426","37290"
"Дальневосточный федеральный округ","31428","36793","36292","39382","32760","37733","36142","42030","31705.2","35151.4","34407.3","41935.9","33184.3","37662.2","37390.4","45159.3","35654.1","38200","37921.5","46117.1","37533.3","41341.1","42712","50303","45211","50137","51429","61143","49315","54904","56307","67303","54448"
"Республика Саха (Якутия)","30177.4","39468.4","36631.6","48969.1","33307.9","40204.7","38253.8","50002.6","35099.4","42198.7","40172.5","53668.9","36769.7","44375.9","43237.1","57372.7","39529.8","42433.3","43700.7","59762.9","41352.4","48230.4","47493","64357","50711","58052","55670","71694","58902","69186","65552","83049","65705"
"Камчатский край","37722.4","45920.1","46474.8","50210.1","38260.2","46372.5","47079.3","56500.7","39657.9","49523.8","50862.6","63145.7","43638.6","54245","54799.2","67831.9","50139.3","56886","55616.1","70823.3","52345.8","62607.5","65472","78441","60957","83614","71474","91939","69728","88049","89640","91354","70448"
"Приморский край","27811.5","31870.1","33706.7","32163.6","28014.3","34589.1","31852.6","35137.2","31159.1","34388.7","33069.2","40720.4","31893.7","36677.7","36756.4","43227.5","34758.2","36527","36526.9","42315.4","37978.6","39910.1","41319","45241","44739","48321","52186","53335","48238","51009","53535","62446","54623"
"Хабаровский край","31822.3","37551.8","37068.6","40145","33328","37249","36106.2","41899.4","35159.6","39169.7","37296.2","44862.4","36518.7","40662.3","39671.7","49227","37903.4","40559.7","39889.4","48388.5","38844.4","42523.4","43827","51886","46195","49314","52103","62306","50419","52638","53219","66074","54930"
"Амурская область","27102.9","28583.8","27921.3","28602","27459","29214.6","28632.7","32026","28552.7","30644.7","30324.4","34717.2","29135","32925.8","33560","38438","32049.5","34952.8","34159.4","41460.9","31212","37628.4","41028","49349","41899","45089","45360","65881","43487","48300","51686","71308","48496"
