"region","2016, I квартал","2016, II квартал","2016, III квартал","2016, IV квартал","2017, I квартал","2017, II квартал","2017, III квартал","2017, IV квартал","2018, I квартал","2018, II квартал","2018, III квартал","2018, IV квартал","2019, I квартал","2019, II квартал","2019, III квартал","2019, IV квартал","2020, I квартал","2020, II квартал","2020, III квартал","2020, IV квартал","2021, I квартал","2021, II квартал","2021, III квартал","2021, IV квартал","2022, I квартал","2022, II квартал","2022, III квартал","2022, IV квартал","2023, I квартал","2023, II квартал","2023, III квартал","2023, IV квартал","2024, I квартал"
"Алтайский край","27.2","36.5","39.2","32.1","28.58","37.052","38.511","34.4","25.8","35.138","37.472","30.128","24.816","33.862","36.217","30.417","25.339","29.783","32.526","28.56","24.76","38.332","35.861","30.466","25.317","39.426","38.789","30.951","27.788","39.217","36.36","27.782","25.893"
"Забайкальский край","15","20.3","21","22.1","16.636","19.18","21.463","20","13.9","18.583","19.757","17.06","12.614","17.789","20.221","18.304","14.06","15.882","18.086","18.071","14.935","20.114","22.014","19.12","15.687","22.687","23.549","21.091","17.15","25.05","26.238","22.283","17.111"
"Красноярский край","44","59.2","65.2","57.5","45.297","54.141","64.149","57.7","43.8","55.469","64.976","57.291","50.346","54.48","66.785","56.396","39.025","40.682","55.92","49.382","42.162","57.37","67.45","55.217","45.376","61.481","70.977","54.288","46.028","60.263","62.167","50.315","44.59"
"Иркутская область","35","43.4","49.3","47.8","34.703","39.756","47.735","44.2","33.8","40.014","47.039","46.292","31.905","38.491","45.908","45.91","30.657","31.401","39.125","39.637","31.041","41.733","49.978","47.035","36.443","47.894","53.778","51.595","42.149","59.946","57.035","52.687","39.805"
"Кемеровская область","44.6","51.5","53.8","50.2","37.875","48.248","49.913","42.6","37.7","46.648","50.73","42.502","36.904","45.253","51.89","41.332","33.609","38.15","44.543","41.259","35.97","47.868","53.763","43.846","37.568","49.571","57.841","43.259","38.362","53.015","54.034","39.798","37.307"
"Новосибирская область","42.7","49.6","57.3","47.4","40.545","51.696","54.271","45.8","40.2","52.525","59.761","45.818","40.484","48.752","56.496","45.337","37.319","41.521","49.088","43.421","43.746","55.481","59.029","48.893","41.857","55.519","58.936","48.021","42.186","58.185","60.75","46.855","43.43"
"Омская область","24.8","33.1","38.1","31.3","25.487","32.457","35.577","31.9","22.7","30.455","34.28","27.892","21.322","29.126","34.008","27.351","22.251","25.489","31.271","28.662","24.097","33.137","36.658","29.509","22.771","36.8","41.221","32.836","25.365","36.467","36.935","28.819","24.341"
"Томская область","15.2","20.7","22.3","17.5","14.65","18.573","19.614","18.7","13.4","17.783","20.944","17.395","13.283","17.43","20.701","19.244","13.113","16.341","17.677","15.149","14.233","18.537","20.166","18.118","13.829","19.314","22.383","17.047","14.646","20.131","21.265","15.729","14.184"
"Дальневосточный федеральный округ","109.5","136.6","153","150.2","107.481","138.014","148.945","136.8","96.2","130.86","149.577","146.115","123.908","161.515","191.951","191.296","132.961","140.937","184.015","172.792","143.535","186.209","218.146","193.248","152.641","197.002","223.903","199.553","152.66","211.968","231.769","199.671","153.606"
"Республика Саха (Якутия)","15.3","16.8","23.1","23.3","15.143","18.557","23.199","22.4","15.8","18.68","27.502","26.568","17.369","18.881","28.922","32.687","19.652","17.21","25.881","25.551","17.897","23.139","29.407","28.183","22.283","23.777","33.13","30.576","21.783","33.327","33.405","30.468","21.91"
"Камчатский край","5.5","7.7","11.8","10.3","7.166","8.546","13.913","9.1","6.2","9.485","15.646","10.854","7.102","10.432","18.571","11.815","7.507","7.821","19.223","10.485","8.656","10.339","21.84","10.17","7.806","11.652","22.052","9.992","7.669","10.704","22.709","10.625","8.078"
"Приморский край","31.7","39.9","37","35.9","26.771","39.529","34.332","32.5","23.5","33.622","32.076","33.74","24.339","34.703","33.763","32.958","24.665","29.61","33.166","30.645","27.895","37.413","37.257","32.085","29.216","38.916","37.504","34.069","29.03","41.889","39.089","34.371","28.431"
"Хабаровский край","25.4","31.7","34.9","34.1","25.285","30.593","33.887","31.1","21.4","28.46","30.231","27.932","21.126","26.632","29.396","27.157","21.227","22.311","28.596","26.508","23.536","30.565","34.042","30.498","24.849","28.015","31.911","29.861","23.902","32.228","35.621","29.763","24.497"
"Амурская область","14.1","16.7","19.1","18.1","15.601","16.081","17.046","15.2","12.1","16.565","18.013","17.525","12.818","16.425","18.191","21.166","15.143","15.168","18.672","18.452","19.546","23.974","26.115","26.274","20.243","29.029","23.504","23.273","16.727","21.525","23.892","24.123","19.153"
"Магаданская область","3.4","4","5.1","6.7","3.021","3.871","5.169","6.8","3.6","4.331","5.01","7.275","4.062","4.272","5.025","8.533","3.549","4.41","5.179","8.049","4.1","5.099","6.218","9.033","5.123","5.755","7.149","10.178","5.301","5.797","6.695","9.087","4.182"
"Сахалинская область","10.5","15.4","16.9","16.8","10.837","16.342","16.57","14.6","10","15.166","15.677","16.819","9.586","14.146","14.956","16.731","11.226","13.837","15.435","17.474","11.716","15.977","19.12","18.619","12.316","16.739","20.068","18.505","13.611","17.805","18.059","17.365","13.094"
"Еврейская авт. область","2.1","2.9","2.9","2.6","2.095","2.807","2.79","2.5","2.2","2.968","3.198","2.748","1.831","2.628","2.761","2.539","2.254","2.346","2.38","2.524","2.339","2.819","2.727","2.476","2.297","2.72","3.156","2.56","2.355","3.559","3.249","2.682","2.29"
"Чукотский авт. округ","1.5","1.5","2.3","2.3","1.562","1.688","2.039","2.6","1.3","1.583","2.224","2.654","1.7","1.915","2.772","3.094","1.677","1.635","2.348","2.669","1.73","2.016","2.59","3.176","1.657","2.013","2.837","3.23","2.176","2.177","2.926","3.132","2.253"
