"region","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Свердловская область","156077","199859.1","234866.4","284576.3","364368.8","475575.5","653908.3","820792.5","923550.8","825267.4","1046600.1","1291019.1","1484879","1568655.2","1659783.9","1822835","2109619","2259526","2423689.5","2535215","2512655","3038442.8"
"Тюменская область","570790.2","753119.2","898722.4","1117514.4","1536733.8","2215584.5","2551355.5","2758813","3121401.2","2870284","3301573.2","4112596","4625467.5","4950207.5","5295348.5","5851558","6125962","7097070","8875004","8952460","7280595.5","11349439"
"Ханты-Мансийский авт. округ - Югра","403822.2","497981.4","552483.5","717219.7","956196.5","1399335.9","1594097.1","1728340.2","1937159.1","1778637.1","1971870.5","2440432.5","2703558.8","2729122.5","2860499","3154058.8","3130196.5","3557367","4506739.5","4558880","3341832","5651897"
"Ямало-Ненецкий авт. округ","117100.8","184315.9","262447.4","283181.2","355718.4","441721.8","546365.8","594678.6","719397","649640","782214.9","966110.4","1191271.9","1375878.8","1633382.2","1791825.6","2028234.6","2456293.8","3051613","3158827.5","2767734.5","4161529.5"
"Тюменская область без авт. округов","","","","","","","","","","","","706053","730636.8","845206.2","801467.4","905673.5","967530.8","1083409.4","1316650.9","1234753.1","1171029.2","1536012.4"
"Челябинская область","120561","142461.9","172446.4","220185.2","291179.9","349957.2","446918","575643.7","664492.7","556985.3","652865.5","774401","841972.3","882339.6","993900.6","1209242.8","1332761.4","1416613.2","1521325.4","1547518","1602739.4","2042593.4"
"Сибирский федеральный округ","635471.7","778927.9","909296.4","1104197.5","1506602.2","1806739.4","2260554.8","2772400.8","3177169.2","3121312.5","3831126.2","4445440.5","4798102","5134468","5712688.5","6371103","6975354.5","7653769","8701659","9090340","9021766","11287168"
"Республика Алтай","2737.5","4499.4","5310.6","6903.9","8516.7","8805.8","11609.4","15108.5","18701","19911.6","22393.7","26380.8","30444.6","33313.5","39191.9","42165.7","47434.9","48415.2","54069.4","57064","62850.8","71336.2"
"Республика Тыва","3594.1","5197.2","6847.4","8121.2","9838.5","11662.5","15146.8","19384.2","23870.5","26921.9","30772.8","33398.9","37369.1","41298.7","45947.9","47289.6","58001.1","65038.9","73681.6","79321.3","82230.8","88770.7"
"Республика Хакасия","17418.1","20041","25423.3","28969.2","33102.9","41727.5","53689.3","63722","72308.8","81019.9","96039.8","113088.1","130638.5","141850.5","158372.8","170413.1","207742.6","218148.4","242341.1","256322.3","266213.2","307516.9"
